,initiation,continuation,cessation
0,anlegge,beholde,avblåse
1,anta,bli ved,avbryte
2,åpne,drifte,avgå
3,byrja/byrje,driv(e) (på),avrunde
4,debutere,forbli,avstå
5,dra,forlenge,avstenge
6,etablere,fullføre,avverge
7,få det gjordt,gå videre (med),avvikle
8,få gang på,gjennomføre,bremse
9,få i gang,gjentar,bryte
10,få satt igang,gønne på,determinere
11,feng i,halda/halde fram,diskontinuere
12,forårsake (eks. Starte forårsake en brann),holde fast ved,dø
13,gå i gang/igang,holde fram/frem (med),drite i
14,grunne,holde hjulene i gang,enda/ende
15,grunnlegge,holde i gang,ferdiggjøre
16,gyver løs på,hold(e) på (med),ferdigstille
17,hoppe i det,holde ved,forlate
18,igangsette,kjøre på,frafalle
19,initiere,klemme på,fullføre
20,innføre,mol (arbe),gi (opp)/(oss)/(seg)
21,inngå,opprettholde,gjeva seg
22,innlede,overdra,gjøre ende på
23,inntre,overta,gjøre ferdig
24,innvie,pågå,gjøre slutt på
25,instigera,stå fast ved,halda opp
26,iverksette,stå på,heve
27,kjøre i gang/igang,utholde,hold(e) (opp) (med)
28,kjøre på,vara,innstille
29,komm(e) i gang/igang (med),vedbli,komme i mål
30,opprette,vedlikeholde,konkludere
31,oppstå,vedvare,kutte (ut)
32,oppstarte,verta verande,kvitte
33,påbegynne,videreføre,legge inn årene
34,påstarte,,legge ned
35,realisere,,legge opp
36,se å få det gjordt,,legge vekk
37,setja i gang,,lukke
38,sett(e) i gang,,nedlegge
39,sette (eks. sette en deig),,oppgi
40,sette fart på,,opphøre
41,sette i gang/ igang (med),,rive ned
42,skru på,,runde av
43,slå på,,selge
44,sparke i gang,,sette punktum
45,starte,,sette strek
46,starte opp,,si opp
47,ta fatt på,,slutte
48,ta til,,sluttføre
49,taka til,,stanse
50,tilta,,stenge
51,tiltre,,stogge
52,tut og kjør,,stoppe/stoppa
53,volde,,takke for seg
54,,,terminere/terminera
55,,,utgå
